2019-08-29: start
2019-09-02: 4.0
2019-09-07: 3.5
2019-09-10: 3.9
2019-09-15: 3.2
2019-09-18: 3.2
2019-09-22: 4.4
2019-09-27: 5.4
2019-09-30: 3.4, 0.9
2019-10-02: 3.5
2019-10-06: 4.5
2019-10-09: 3.5
2019-10-12: 3.4
2019-10-15: 4.9
2019-10-18: 5.5
2019-10-21: 4.0
2019-10-25: 3.9
2019-10-27: 4.5
2019-10-30: 3.4
2019-11-05: 3.1, 2.7
2019-11-08: 2.8
2019-11-11: 2.6, 2.4
2019-11-15: 3.3, 2.7
2019-11-19: 4.0, 3.1
2019-11-23: 4.2
2019-11-24: 4.3
2019-11-26: 4.1, 1.4
2019-11-30: 4.0
2019-12-03: 4.6
2019-12-07: 3.7
2019-12-10: 3.9
2019-12-13: 3.4
2019-12-17: 3.1, 3.1
2019-12-21: 5.2
2019-12-24: 3.6
2019-12-28: 4.2
2020-01-05: 3.0
2020-01-11: 3.2
2020-01-15: 3.4
2020-01-19: 4.6
2020-01-21: 3.2
2020-01-28: 3.7
2020-02-05: 2.6
2020-02-07: 3.7
2020-02-12: 3.1
2020-02-16: 3.3
2020-02-19: 3.8
2020-02-22: 4.6
2020-02-24: 3.3
2020-02-27: 5.8
2020-03-02: 3.7
2020-03-06: 4.0
2020-03-08: 2.8
2020-03-19: 2.240
2020-04-09: 3.170
2020-04-22: 2.360
2020-05-04: 2.130
2020-05-24: 2.345
2020-06-02: 2.680
2020-06-09: 3.010
2020-06-24: 2.665
2020-07-04: 2.400
2020-07-12: 2.585
2020-08-06: 2.690
2020-08-23: 3.235
2020-08-27: 3.165
2020-08-30: 3.635
2020-09-01: 3.610
2020-09-07: 3.850
2020-09-13: 2.275
2020-09-19: 3.980
2020-09-25: 3.200
2020-10-01: 4.550
2020-10-06: 3.050
2020-10-10: 3.290
2020-10-15: 3.350
2020-10-20: 3.680
2020-10-26: 2.990
2020-10-31: 3.215
2020-11-04: 3.385
2020-11-10: 3.160
2020-11-16: 4.010
2020-11-19: 2.790
2020-11-25: 2.835
2020-12-01: 2.030
2020-12-11: 2.655
2020-12-25: 3.320
2020-12-30: 2.600
2021-01-12: 2.005
2021-01-15: 3.540
2021-01-24: 3.105
2021-02-07: 4.315
2021-02-12: 2.865
2021-02-17: 2.700
2021-02-20: 2.470
2021-02-27: 3.840
2021-03-04: 3.110
2021-03-09: 3.840
2021-03-15: 3.840
2021-03-19: 3.675
2021-03-27: 3.850
2021-04-07: 4.550
